,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
59,1960,17.14,20.96,23.19,27.7,30.26,29.63,27.07,26.54,26.51,24.62,20.5,18.39
60,1961,17.95,18.41,24.74,27.98,30.04,28.83,26.73,26.5,25.99,24.25,20.22,16.61
61,1962,16.3,19.66,23.61,27.81,29.84,29.55,27.37,26.41,25.89,24.09,20.76,17.74
62,1963,16.84,20.36,23.61,26.94,29.33,29,27.41,26.31,26.2,25.03,21.68,18.17
63,1964,16.72,19.75,25.04,28.54,29.74,29.28,26.63,26.33,26.01,24.87,20.42,17.66
64,1965,18.18,19.53,23.26,26.82,29.84,29.84,27.05,26.45,26.2,25.22,21.6,17.94
65,1966,17.82,21.13,23.99,27.94,30.16,29.29,27.81,26.59,26.14,24.96,21.61,17.53
66,1967,16.95,20.58,23.05,27.21,29.98,29.56,27.17,26.14,25.92,24.44,20.69,18.41
67,1968,16.59,18.59,23.64,27.11,29.49,29.32,27.1,26.49,26.85,24.42,21.09,18.07
68,1969,17.3,20.13,25.45,28.24,29.7,29.77,27.16,26.36,26.12,25.22,22.08,18.25
69,1970,17.6,19.73,23.83,28.58,30.65,28.38,27.23,26.36,26.12,24.97,20.42,17.33
70,1971,16.97,19.44,23.59,27.96,29.1,27.78,26.56,26.04,26.13,24.35,20.35,17.46
71,1972,17.29,18.07,24.17,27.44,30.44,30.31,27.66,26.56,26.23,24.76,21.09,18.5
72,1973,17.66,20.71,24,29.38,30.82,29.56,27.15,26.19,26.16,24.53,20.56,17.31
73,1974,16.77,19.05,24.81,28.68,29.7,29.2,27.23,26.59,26.71,25.08,20.5,16.92
74,1975,16.49,19.29,23.62,28.28,30.43,28.79,26.51,26.32,25.7,25.06,19.94,17.2
75,1976,17.21,19.7,23.99,27.42,29.76,28.74,27.09,25.91,25.88,25.17,22.44,18.29
76,1977,17.14,20.04,25.39,27.78,28.94,28.91,26.91,26.45,26.13,25,22.5,18.19
77,1978,16.77,19.17,22.87,27.86,30.99,29.1,26.53,26.18,26.14,25.14,21.94,18.15
78,1979,18.06,19.04,23.22,28.42,29.65,30.03,27.69,26.77,26.61,25.5,22.68,18.72
79,1980,17.78,20.5,24.04,29.12,30.98,28.83,27.04,26.45,26.68,25.31,21.68,18.35
80,1981,17.26,20.24,23.6,28.02,30.02,29.9,26.98,26.52,26.62,24.99,20.53,17.75
81,1982,18.06,19.33,22.84,27.34,29.17,29.42,28.07,26.55,26.55,25.33,21.33,18.45
82,1983,17.14,19.24,23.63,26.72,29.58,29.9,27.65,26.74,26.42,24.43,20.37,17.69
83,1984,17.18,18.63,24.83,28.29,31.06,29.26,26.78,26.26,25.69,24.76,20.55,18.44
84,1985,17.79,20,25.6,28.43,30.49,29.2,26.75,26.51,26.47,24.11,21.04,18.83
85,1986,17.47,19.63,24.08,28,29.66,29.35,26.97,26.37,26.62,24.94,21.81,17.91
86,1987,17.76,20.28,24.14,28.3,29.07,30.21,27.95,27.12,27.32,25.44,21.91,18.4
87,1988,18.61,20.97,24.26,28.53,31.1,29.51,27,26.61,26.79,24.87,21.16,18.54
88,1989,16.88,19.46,23.57,27.83,30.36,28.72,27,26.36,26.48,25.07,21.49,17.82
89,1990,18.73,19.96,23.11,27.85,29.61,28.91,26.68,26.51,26.32,24.45,21.81,18.49
90,1991,17.11,20.38,24.48,27.66,30.37,29,27.65,26.37,26.54,24.81,21.14,17.98
91,1992,17.3,18.89,24.28,27.86,29.68,29.92,27.62,26.31,26,24.85,21.29,18.11
92,1993,17.76,20.51,23.09,27.66,30.44,29.94,27.31,26.87,26.27,25.23,21.65,18.23
93,1994,18.29,19.51,25.18,27.34,30.7,29.24,26.62,26.3,26.19,24.75,21.26,17.93
94,1995,16.53,20.02,23.61,27.53,30.12,30.68,27.48,26.84,26.63,25.5,21.55,18.55
95,1996,18.16,20.4,25.33,28.04,30.45,29.41,27.47,26.16,26.55,24.64,21.26,18
96,1997,16.96,19.25,24.32,26.53,29.32,29.1,27.58,26.65,26.38,24.24,21.81,17.97
97,1998,17.78,20.28,23.59,28.49,31.12,30.43,27.63,27.11,26.79,25.69,22.02,18.26
98,1999,17.25,20.98,25.07,29.2,29.95,28.96,27.23,26.63,26.59,25.35,22.08,18.51
99,2000,18.11,19.28,23.73,29.18,30.16,28.79,27.04,26.86,26.56,25.96,22.24,18.59
100,2001,17.9,20.88,24.57,27.98,30.56,28.48,27.06,26.83,27.16,25.71,22.35,19.02
101,2002,17.77,20.47,25.02,28.98,31.11,29.6,28.18,26.63,26.37,25.58,21.93,19.26
102,2003,17.86,20.54,24.2,28.86,30.4,30.23,27.19,26.82,26.4,25.22,22,18.48
103,2004,17.66,20.27,26.16,29.18,30.19,28.92,27.68,26.57,27.05,24.62,21.86,19.08
104,2005,17.77,20.19,24.81,27.91,29.83,30.51,27.26,27.04,26.69,25.05,21.26,18.03
105,2006,18.29,22,24.14,27.9,30.56,29.28,27.44,26.57,26.78,25.72,22.2,19.13
106,2007,18.3,20.45,24.35,29.19,30.69,29.51,27.59,27.07,26.9,25.24,22.04,18.77
107,2008,17.84,19.12,25.25,28.01,30.22,28.63,27.24,26.49,26.55,25.61,22.27,19.82
108,2009,19.21,21.78,25.3,29,30.8,30.38,27.79,27.58,27.14,25.38,22.04,19.25
109,2010,17.82,20.95,26.41,30.17,31.23,30.01,27.68,27.11,26.61,25.92,22.83,18.13
110,2011,17.14,20.38,24.81,27.69,30.63,29.17,27.45,26.82,26.61,25.7,22.46,18.96
111,2012,17.04,19.88,24.48,28.31,30.78,30.42,27.72,26.66,26.59,24.97,21.4,19
112,2013,17.5,20.16,24.74,28.16,30.95,28.79,26.98,26.43,26.9,25.37,21.29,18.38
113,2014,17.81,19.49,23.75,28.17,29.92,30.68,27.96,27.23,26.59,25.53,22.09,18.01
114,2015,17.36,20.62,23.75,27.57,30.79,29.21,27.54,27.1,27.18,26.06,22.54,19
115,2016,18.29,21.54,25.58,29.37,30.76,30.01,27.37,26.95,26.86,25.49,21.6,19.45
116,2017,18.06,21.05,24.6,29.14,30.97,29.39,27.37,27.15,27.17,26.09,21.78,18.96
117,2018,18.08,21.14,25.42,28.58,30.65,29.63,27.29,26.85,26.58,25.55,22.07,18.13
118,2019,17.49,20.03,24.14,29.06,30.75,30.77,27.93,26.95,26.72,25.1,22.37,17.9
119,2020,17.25,20.33,23.85,28.04,30.37,29.04,28.01,27.02,27.38,26.03,21.61,18.61
120,2021,19.9,22.55,26.3,28.42,37.5,31.76,28.52,27.88,28.78,27.42,23.47,20.78
